student_id,name,class,comprehension,attention,focus,retention,assessment_score,engagement_time
75,Student_75,10B,51,71,59,60,52,39
76,Student_76,10B,50,78,75,96,79,55
77,Student_77,10B,97,52,68,72,41,70
78,Student_78,10C,61,61,88,65,59,64
79,Student_79,10C,54,75,52,80,40,54
80,Student_80,10B,86,65,94,60,76,55
81,Student_81,10C,81,86,62,65,48,40
82,Student_82,10A,58,71,99,57,56,67
83,Student_83,10B,90,78,77,53,48,31
84,Student_84,10A,84,63,69,89,50,36
85,Student_85,10A,68,77,77,53,54,47
86,Student_86,10B,97,54,57,74,63,56
87,Student_87,10C,65,96,90,52,77,63
88,Student_88,10A,52,98,88,81,94,56
89,Student_89,10B,69,79,50,52,74,46
90,Student_90,10A,73,95,52,76,69,72
91,Student_91,10A,82,54,62,78,70,73
92,Student_92,10A,73,61,77,81,88,53
93,Student_93,10A,60,65,98,99,44,54
94,Student_94,10C,98,75,74,68,99,36
95,Student_95,10A,57,75,82,70,83,35
96,Student_96,10A,85,97,87,54,89,53
97,Student_97,10A,87,70,55,67,53,62
98,Student_98,10C,89,88,93,77,92,78
99,Student_99,10A,69,85,94,91,95,58
100,Student_100,10A,84,82,81,71,50,72
101,Student_101,10C,97,79,94,70,48,51
102,Student_102,10C,74,86,96,55,73,55
103,Student_103,10C,84,72,70,50,51,57
104,Student_104,10A,74,59,65,54,74,79
105,Student_105,10C,78,54,70,90,74,50
106,Student_106,10C,67,85,60,61,40,78
107,Student_107,10A,95,83,86,75,79,36
108,Student_108,10C,67,80,85,95,61,46
109,Student_109,10A,51,59,84,83,99,49
110,Student_110,10B,84,68,68,98,68,70
111,Student_111,10C,65,81,69,63,47,78
112,Student_112,10B,90,50,67,75,50,49
113,Student_113,10A,85,54,96,94,80,51
114,Student_114,10C,82,94,90,76,76,57
115,Student_115,10A,53,53,98,58,53,69
116,Student_116,10B,82,65,63,75,99,78
117,Student_117,10A,63,73,64,96,69,36
118,Student_118,10C,70,65,80,71,74,30
119,Student_119,10C,97,51,50,96,60,61
120,Student_120,10B,69,98,52,79,76,42
121,Student_121,10A,57,77,65,92,44,59
122,Student_122,10C,56,81,72,97,58,52
123,Student_123,10B,52,76,60,66,98,48
124,Student_124,10C,66,69,61,75,53,61
125,Student_125,10C,82,73,59,85,65,59
126,Student_126,10A,97,61,81,50,43,58
127,Student_127,10C,61,99,65,57,64,78
128,Student_128,10A,71,84,57,98,84,74
129,Student_129,10C,71,82,87,84,81,58
130,Student_130,10B,95,82,61,64,64,59
131,Student_131,10C,79,92,73,96,57,45
132,Student_132,10A,87,86,77,71,79,69
133,Student_133,10A,87,61,57,63,47,48
134,Student_134,10B,94,52,77,75,78,47
135,Student_135,10C,57,50,85,77,79,30
136,Student_136,10C,76,82,75,72,53,43
137,Student_137,10B,76,89,57,63,71,76
138,Student_138,10C,83,59,99,73,90,79
139,Student_139,10C,70,92,77,51,77,31
140,Student_140,10A,79,93,77,94,72,57
141,Student_141,10C,82,78,86,75,62,78
142,Student_142,10C,77,62,90,63,54,79
143,Student_143,10B,96,61,85,56,72,59
144,Student_144,10B,82,80,76,52,64,67
145,Student_145,10A,54,95,66,96,56,33
146,Student_146,10C,97,51,58,72,72,30
147,Student_147,10C,68,99,82,95,86,37
148,Student_148,10C,53,84,69,92,94,58
149,Student_149,10A,84,72,62,96,41,68
150,Student_150,10A,98,66,77,94,53,32
151,Student_151,10B,66,75,97,67,92,61
152,Student_152,10A,93,57,78,87,79,39
153,Student_153,10C,77,78,62,84,79,39
154,Student_154,10C,79,75,95,64,90,48
155,Student_155,10A,78,59,84,74,78,75
156,Student_156,10C,95,75,55,86,90,63
157,Student_157,10C,55,83,67,77,45,62
158,Student_158,10A,84,90,54,59,45,52
159,Student_159,10A,90,56,96,88,42,57
160,Student_160,10C,86,53,74,66,46,61
161,Student_161,10C,73,99,51,88,90,79
162,Student_162,10C,78,94,59,71,47,36
163,Student_163,10B,98,60,79,75,81,58
164,Student_164,10B,95,78,99,93,91,37
165,Student_165,10B,80,85,94,74,54,30
166,Student_166,10A,84,74,54,66,86,32
167,Student_167,10B,82,70,82,62,68,53
168,Student_168,10A,70,85,50,69,72,52
169,Student_169,10A,81,59,67,74,91,37
170,Student_170,10B,72,86,81,53,69,76
171,Student_171,10B,82,58,96,59,78,66
172,Student_172,10B,52,73,98,52,66,32
173,Student_173,10C,67,84,60,90,75,62
174,Student_174,10B,74,98,70,94,68,57
175,Student_175,10C,91,84,75,67,77,76
176,Student_176,10A,80,97,74,96,96,37
177,Student_177,10C,52,85,71,85,72,63
178,Student_178,10B,89,67,76,96,76,64
179,Student_179,10A,95,98,98,71,66,61
180,Student_180,10A,73,88,62,83,94,53
181,Student_181,10A,99,81,82,96,72,43
182,Student_182,10C,81,73,83,57,43,61
183,Student_183,10B,96,72,90,89,61,75
184,Student_184,10A,71,81,84,98,41,72
185,Student_185,10A,72,86,50,93,49,45
186,Student_186,10A,51,61,70,68,44,33
187,Student_187,10C,76,98,97,91,98,66
188,Student_188,10C,91,62,55,90,49,50
189,Student_189,10B,51,72,77,86,72,43
190,Student_190,10C,75,74,66,55,93,60
191,Student_191,10A,66,84,54,75,77,77
192,Student_192,10B,89,90,80,83,52,47
193,Student_193,10A,82,79,54,94,70,36
194,Student_194,10A,58,66,87,55,86,39
195,Student_195,10C,92,98,52,86,75,36
196,Student_196,10B,97,69,72,82,84,62
197,Student_197,10C,88,97,86,71,63,52
198,Student_198,10C,78,74,86,70,91,50
199,Student_199,10B,91,71,59,55,95,48
200,Student_200,10A,75,62,59,55,54,77
